league,split,date,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
LCK,2018-2,43263.23041,1.1,1,Red,ADC,Sangyoon,Hanwha Life Esports,Vladimir,Pyke,Taliyah,Taric,Kennen,Lucian,1
LCK,2018-2,43263.23041,1.1,1,Red,Support,Key,Hanwha Life Esports,Fiddlesticks,Pyke,Taliyah,Taric,Kennen,Lucian,1
LCK,2018-2,43263.23041,1.1,1,Blue,Team,Team,Griffin, ,Alistar,Irelia,Skarner,Gragas,Soraka,0
LCK,2018-2,43263.23041,1.1,1,Red,Team,Team,Hanwha Life Esports, ,Pyke,Taliyah,Taric,Kennen,Lucian,1
LCK,2018-2,43263.27576,1.1,2,Blue,Top,Lindarang,Hanwha Life Esports,Gangplank,Taric,Pyke,Taliyah,Karthus,Darius,0
LCK,2018-2,43263.27576,1.1,2,Blue,Jungle,SeongHwan,Hanwha Life Esports,Trundle,Taric,Pyke,Taliyah,Karthus,Darius,0
LCK,2018-2,43263.27576,1.1,2,Blue,Middle,Lava,Hanwha Life Esports,Irelia,Taric,Pyke,Taliyah,Karthus,Darius,0
LCK,2018-2,43263.27576,1.1,2,Blue,ADC,Sangyoon,Hanwha Life Esports,Vladimir,Taric,Pyke,Taliyah,Karthus,Darius,0
LCK,2018-2,43263.27576,1.1,2,Blue,Support,Key,Hanwha Life Esports,Janna,Taric,Pyke,Taliyah,Karthus,Darius,0
LCK,2018-2,43263.27576,1.1,2,Red,Top,Sword,Griffin,Shen,Fiddlesticks,Camille,Rakan,Gragas,Alistar,1
LCK,2018-2,43263.27576,1.1,2,Red,Jungle,Tarzan,Griffin,Nocturne,Fiddlesticks,Camille,Rakan,Gragas,Alistar,1
LCK,2018-2,43263.27576,1.1,2,Red,Middle,Chovy,Griffin,Yasuo,Fiddlesticks,Camille,Rakan,Gragas,Alistar,1
LCK,2018-2,43263.27576,1.1,2,Red,ADC,Viper,Griffin,Ryze,Fiddlesticks,Camille,Rakan,Gragas,Alistar,1
LCK,2018-2,43263.27576,1.1,2,Red,Support,Lehends,Griffin,Soraka,Fiddlesticks,Camille,Rakan,Gragas,Alistar,1
LCK,2018-2,43263.27576,1.1,2,Blue,Team,Team,Hanwha Life Esports, ,Taric,Pyke,Taliyah,Karthus,Darius,0
LCK,2018-2,43263.27576,1.1,2,Red,Team,Team,Griffin, ,Fiddlesticks,Camille,Rakan,Gragas,Alistar,1
LCK,2018-2,43263.32191,1.1,3,Blue,Top,Sword,Griffin,Dr. Mundo,Alistar,Lucian,Skarner,Fiddlesticks,Lulu,1
LCK,2018-2,43263.32191,1.1,3,Blue,Jungle,Tarzan,Griffin,Nocturne,Alistar,Lucian,Skarner,Fiddlesticks,Lulu,1
LCK,2018-2,43263.32191,1.1,3,Blue,Middle,Chovy,Griffin,Zoe,Alistar,Lucian,Skarner,Fiddlesticks,Lulu,1
LCK,2018-2,43263.32191,1.1,3,Blue,ADC,Viper,Griffin,Vladimir,Alistar,Lucian,Skarner,Fiddlesticks,Lulu,1
LCK,2018-2,43263.32191,1.1,3,Blue,Support,Lehends,Griffin,Morgana,Alistar,Lucian,Skarner,Fiddlesticks,Lulu,1
LCK,2018-2,43263.32191,1.1,3,Red,Top,Lindarang,Hanwha Life Esports,Darius,Taliyah,Pyke,Taric,Soraka,Shen,0
LCK,2018-2,43263.32191,1.1,3,Red,Jungle,SeongHwan,Hanwha Life Esports,Trundle,Taliyah,Pyke,Taric,Soraka,Shen,0
