league,split,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
LPL,2018-2,5,1,Red,Middle,Doinb,Rogue Warriors,Ryze,Aatrox,Rakan,Kindred,Orianna,Alistar,0
LPL,2018-2,5,1,Red,Support,killua,Rogue Warriors,Shen,Aatrox,Rakan,Kindred,Orianna,Alistar,0
LPL,2018-2,5,1,Red,Top,Mouse,Rogue Warriors,Gragas,Aatrox,Rakan,Kindred,Orianna,Alistar,0
LPL,2018-2,5,2,Blue,ADC,LokeN,JD Gaming,Varus,Kled,Nocturne,Taliyah,Lucian,Kai'Sa,0
LPL,2018-2,5,2,Blue,Jungle,Clid,JD Gaming,Camille,Kled,Nocturne,Taliyah,Lucian,Kai'Sa,0
LPL,2018-2,5,2,Blue,Middle,Yagao,JD Gaming,Galio,Kled,Nocturne,Taliyah,Lucian,Kai'Sa,0
LPL,2018-2,5,2,Blue,Support,LvMao,JD Gaming,Tahm Kench,Kled,Nocturne,Taliyah,Lucian,Kai'Sa,0
LPL,2018-2,5,2,Blue,Top,Zoom,JD Gaming,Gangplank,Kled,Nocturne,Taliyah,Lucian,Kai'Sa,0
LPL,2018-2,5,2,Red,ADC,SmLz,Rogue Warriors,Sivir,Aatrox,Rakan,Darius,Morgana,Shen,1
LPL,2018-2,5,2,Red,Jungle,Flawless,Rogue Warriors,Kindred,Aatrox,Rakan,Darius,Morgana,Shen,1
LPL,2018-2,5,2,Red,Middle,Doinb,Rogue Warriors,Lulu,Aatrox,Rakan,Darius,Morgana,Shen,1
LPL,2018-2,5,2,Red,Support,killua,Rogue Warriors,Alistar,Aatrox,Rakan,Darius,Morgana,Shen,1
LPL,2018-2,5,2,Red,Top,Mouse,Rogue Warriors,Dr. Mundo,Aatrox,Rakan,Darius,Morgana,Shen,1
LPL,2018-2,5,3,Blue,ADC,LokeN,JD Gaming,Orianna,Kled,Nocturne,Taliyah,Lucian,Sivir,1
LPL,2018-2,5,3,Blue,Jungle,Clid,JD Gaming,Camille,Kled,Nocturne,Taliyah,Lucian,Sivir,1
LPL,2018-2,5,3,Blue,Middle,Yagao,JD Gaming,Zoe,Kled,Nocturne,Taliyah,Lucian,Sivir,1
LPL,2018-2,5,3,Blue,Support,LvMao,JD Gaming,Alistar,Kled,Nocturne,Taliyah,Lucian,Sivir,1
LPL,2018-2,5,3,Blue,Top,Zoom,JD Gaming,Dr. Mundo,Kled,Nocturne,Taliyah,Lucian,Sivir,1
LPL,2018-2,5,3,Red,ADC,SmLz,Rogue Warriors,Varus,Aatrox,Rakan,Darius,Pyke,Tahm Kench,0
